0.4522 	0.3192 	0.7824 
0.3904 	0.2042 	1.4808 
0.9764 	0.0700 	2.7607 
0.5233 	0.9500 	1.1487 
0.1109 	0.1412 	2.4417 
0.3299 	0.7213 	2.5728 
0.3421 	0.9288 	1.8034 
0.5211 	0.4073 	1.1039 
0.1203 	0.5209 	3.2106 
0.6255 	0.2191 	0.5796 
0.3466 	0.8424 	1.8635 
0.1992 	0.9869 	2.5832 
0.2983 	0.7699 	2.4064 
0.8899 	0.7061 	2.6210 
0.5014 	0.5953 	2.3293 
0.2770 	0.7529 	2.5767 
0.5340 	0.4967 	1.8732 
0.5743 	0.8651 	0.9187 
0.0148 	0.9685 	2.2113 
0.7028 	0.0988 	1.0467 
0.5067 	0.5470 	2.2373 
0.3813 	0.4030 	1.6296 
0.0649 	0.1070 	2.3883 
0.3586 	0.7242 	2.4399 
0.2035 	0.7830 	2.5703 
0.8138 	0.5666 	2.3635 
0.3934 	0.8113 	1.8007 
0.0536 	0.5768 	3.2736 
0.3751 	0.9440 	1.7206 
0.1653 	0.5076 	3.1540 
